cid,name,place_type,street_name,street_number,district,city,state,zipcode,phone,rating,rating_count,is_operational,latitude,longitude
100001,Padaria Pão de Mel,bakery,R. dos Pinheiros,123,Pinheiros,São Paulo,SP,05422-010,(11) 3082-1111,4.5,234,true,-23.5624,-46.6899
100002,Sabor da Terra,restaurant,Rua Cardeal Arcoverde,456,Pinheiros,São Paulo,SP,05407003,(11) 3082-2222,4.2,189,true,-23.5648,-46.6867
100003,Família Supermercado Pinheiros,supermarket,Rua Mourato Coelho,789,Pinheiros,São Paulo,SP,05417-010,(11) 3083-3333,4.1,312,true,-23.5597,-46.6875
100004,Pizza Express,pizza_restaurant,R. Wisard,332A,Vila Madalena,São Paulo,SP,05434080,(11) 3815-4444,4.4,567,true,-23.5575,-46.6897
100005,Bar do Zé,bar,R. Harmonia,654,Vila Madalena,São Paulo,SP,05435000,(11) 9999-5555,4.6,892,true,-23.5582,-46.6869
100006,Farmácia Bem Viver,pharmacy,Rua dos Pinheiros,567,Pinheiros,São Paulo,SP,05422030,(11) 3082-6666,4.3,145,true,-23.5631,-46.6893
100007,Açougue Bom Corte,butcher_shop,Rua Teodoro Sampaio,890,Pinheiros,São Paulo,SP,05405-050,(11) 3064-7777,4.0,78,true,-23.5631,-46.6848
100008,Sorveteria Gelato Fino,ice_cream_shop,R. dos Pinheiros,111,Pinheiros,São Paulo,SP,05422005,,3.2,45,false,-23.5617,-46.6899
100009,Cafe Arte,cafe,R. Aspicuelta,180,Vila Madalena,São Paulo,SP,05433-010,(11) 3032-9999,4.7,678,true,-23.5567,-46.6880
100010,Mercadinho do Bairro Pinheiros,convenience_store,Rua Cardeal Arcoverde,1100,Pinheiros,São Paulo,SP,05407010,(11) 3083-1010,4.2,234,true,-23.5645,-46.6860
100011,Sushi Hana,japanese_restaurant,R. Wisard,508,Vila Madalena,São Paulo,SP,05434050,(11) 3815-1111,4.8,923,true,-23.5572,-46.6899
100012,Hamburgueria Artesanal,hamburger_restaurant,R. Fradique Coutinho,320,Vila Madalena,São Paulo,SP,05422130,(11) 9888-1212,4.5,456,true,-23.5581,-46.6912
100013,Gaúcha Churrascaria,steak_house,Rua Teodoro Sampaio,1340,Pinheiros,São Paulo,SP,05406-020,(11) 3064-1313,4.3,567,true,-23.5640,-46.6832
100014,Drogaria Popular,pharmacy,Rua dos Pinheiros,890,Pinheiros,São Paulo,SP,05422050,(11) 3082-1414,4.1,89,true,-23.5639,-46.6873
100015,Confeitaria Doce Sabor,bakery,R. Artur de Azevedo,456,Cerqueira César,São Paulo,SP,05404-020,(11) 3088-1515,4.6,345,true,-23.5639,-46.6843
100016,Bella Napoli Pizzaria,pizza_restaurant,R. Aspicuelta,432,Vila Madalena,São Paulo,SP,05433020,(11) 3032-1616,4.4,678,true,-23.5564,-46.6872
100017,Aquarius Bar e Restaurante,bar,Rua Harmonia,300,Vila Madalena,São Paulo,SP,05435010,(11) 3815-1717,4.5,234,true,-23.5580,-46.6869
100018,Padaria Primavera,bakery,R. dos Pinheiros,200,Pinheiros,São Paulo,SP,05422-015,(11) 3082-1818,4.3,123,true,-23.5621,-46.6896
100019,Padaria Primavera,bakery,R. Augusta,1534,Consolação,São Paulo,SP,01304-001,(11) 3256-1919,4.1,89,true,-23.5507,-46.6594
100020,Cantina Bella Vista,italian_restaurant,R. Wisard,220,Vila Madalena,São Paulo,SP,05434-060,(11) 3815-2020,4.3,234,true,-23.5575,-46.6901
100021,Hortifruti Verde Vida,grocery_or_supermarket,Rua Cardeal Arcoverde,780,Pinheiros,São Paulo,SP,05407008,(11) 3083-2121,4.4,156,true,-23.5645,-46.6864
100022,Açaí Tropicana,ice_cream_shop,R. Fradique Coutinho,280,Vila Madalena,São Paulo,SP,05422-130,(11) 9754-2020,4.3,178,true,-23.5585,-46.6912
100023,El Burrito Taqueria,mexican_restaurant,Rua Girassol,67,Vila Madalena,São Paulo,SP,05433050,(11) 3032-3030,4.5,312,true,-23.5562,-46.6890
100024,Salgaderia Minuto Pinheiros,bakery,Rua Teodoro Sampaio,432,Pinheiros,São Paulo,SP,05405020,(11) 3064-4040,4.0,98,true,-23.5625,-46.6855
100025,Tempero Caseiro,restaurant,R. Mourato Coelho,345,Pinheiros,São Paulo,SP,05417-010,(11) 3083-5050,4.2,145,true,-23.5600,-46.6878
100026,Bar Girassol,bar,Rua Girassol,198,Vila Madalena,São Paulo,SP,05433060,(11) 3032-6060,4.4,267,true,-23.5560,-46.6888
100027,Ateliê do Sorvete,ice_cream_shop,Rua Fidalga,89,Vila Madalena,São Paulo,SP,05432-030,(11) 3032-7070,4.7,389,true,-23.5568,-46.6920
100028,Pizzaria São Cosme,pizza_restaurant,R. Harmonia,445,Vila Madalena,São Paulo,SP,05435020,(11) 3815-8080,4.3,234,true,-23.5577,-46.6865
100029,Sakura Restaurante Japonês,japanese_restaurant,R. Wisard,678,Vila Madalena,São Paulo,SP,05434-090,(11) 3815-9090,4.6,456,true,-23.5573,-46.6893
100030,Padaria Villa Madalena,bakery,R. Aspicuelta,320,Vila Madalena,São Paulo,SP,05433015,(11) 3032-1020,4.4,201,true,-23.5568,-46.6883
100031,Café Coado,cafe,R. Purpurina,78,Vila Madalena,São Paulo,SP,05435-060,(11) 3815-1030,4.5,312,true,-23.5575,-46.6857
100032,Bistrô do Artur,restaurant,Rua Artur de Azevedo,890,Cerqueira César,São Paulo,SP,05404050,(11) 3088-1040,4.8,567,true,-23.5640,-46.6838
100033,El Loco Taqueria,mexican_restaurant,R. Inacio Pereira da Rocha,234,Vila Madalena,São Paulo,SP,05434070,(11) 3815-1050,4.3,189,true,-23.5576,-46.6902
100034,Vegan Place,restaurant,R. Fradique Coutinho,450,Vila Madalena,São Paulo,SP,05422-130,(11) 9754-1060,4.6,423,true,-23.5582,-46.6910
100035,Tasca Portuguesa,restaurant,Rua Cardeal Arcoverde,890,Pinheiros,São Paulo,SP,05407010,(11) 3083-1070,4.4,298,true,-23.5650,-46.6862
100036,Crepe e Café,cafe,Rua Sumidouro,123,Pinheiros,São Paulo,SP,05421030,(11) 3082-1080,4.2,134,true,-23.5609,-46.6869
100037,Hamburgueria do Bairro,hamburger_restaurant,Rua Heitor Penteado,76,Pinheiros,São Paulo,SP,05438-020,(11) 3032-1090,4.5,345,true,-23.5568,-46.6880
100038,Restaurante Mineiro Pinheiros,restaurant,Rua dos Pinheiros,780,Pinheiros,São Paulo,SP,05422040,(11) 3082-1100,4.1,189,true,-23.5635,-46.6886
100039,Yakissoba da Casa,japanese_restaurant,R. Wisard,150,Vila Madalena,São Paulo,SP,05434055,(11) 3815-1110,4.3,267,true,-23.5572,-46.6898
100040,Bar dos Artistas Vila Madalena,bar,Rua Harmonia,520,Vila Madalena,São Paulo,SP,05435020,(11) 3815-1120,4.6,512,true,-23.5578,-46.6864
100041,Lanches do Bairro,sandwich_shop,Rua Mourato Coelho,900,Pinheiros,São Paulo,SP,05417020,(11) 3083-1130,4.0,123,true,-23.5598,-46.6873
100042,Sempre Fresco Padaria,bakery,R. Cardeal Arcoverde,567,Pinheiros,São Paulo,SP,05407005,(11) 3083-1140,4.4,234,true,-23.5647,-46.6865
100043,Temperos do Oriente,arabic_restaurant,Rua Teodoro Sampaio,2100,Pinheiros,São Paulo,SP,05406040,(11) 3064-1150,4.2,178,true,-23.5643,-46.6828
100044,Gelados Especiais Sorvetes,ice_cream_shop,R. dos Pinheiros,456,Pinheiros,São Paulo,SP,05422025,(11) 3082-1160,4.5,289,true,-23.5626,-46.6894
100045,Pedro Frango Grelhado,restaurant,R. Aspicuelta,567,Vila Madalena,São Paulo,SP,05433025,(11) 3032-1170,4.3,201,true,-23.5563,-46.6874
100046,Boa Tarde Café,cafe,Rua Girassol,340,Vila Madalena,São Paulo,SP,05433060,(11) 3032-1180,4.6,367,true,-23.5559,-46.6887
100047,Pastelaria Carioca,bakery,R. Fradique Coutinho,600,Vila Madalena,São Paulo,SP,05422-140,(11) 9654-1190,4.1,89,true,-23.5584,-46.6908
100048,Açougue Nobre,butcher_shop,Rua Teodoro Sampaio,1100,Pinheiros,São Paulo,SP,05406010,(11) 3064-1200,4.2,112,true,-23.5638,-46.6835
100049,Farmácia Santa Cruz,pharmacy,Rua Cardeal Arcoverde,1200,Pinheiros,São Paulo,SP,05407-015,(11) 3083-1210,4.3,167,true,-23.5652,-46.6858
100050,Mercadinho Veloso,convenience_store,Rua Sumidouro,234,Pinheiros,São Paulo,SP,05421030,(11) 3082-1220,4.0,78,true,-23.5610,-46.6870
100051,Cozinha Libanesa,restaurant,Rua Mourato Coelho,1100,Pinheiros,São Paulo,SP,05417025,(11) 3083-1230,4.4,234,true,-23.5596,-46.6870
100052,Vinum Vinhos,liquor_store,Rua Cardeal Arcoverde,1500,Pinheiros,São Paulo,SP,05407020,(11) 3083-1240,4.5,189,true,-23.5655,-46.6855
100053,Bistro Français,restaurant,R. Aspicuelta,700,Vila Madalena,São Paulo,SP,05433-030,(11) 3032-1250,4.7,456,true,-23.5561,-46.6876
100054,Massas da Nonna,italian_restaurant,R. Purpurina,190,Vila Madalena,São Paulo,SP,05435065,(11) 3815-1260,4.4,312,true,-23.5576,-46.6856
100055,Grilados Kitchen,sandwich_shop,R. Wisard,410,Vila Madalena,São Paulo,SP,05434075,(11) 3815-1270,4.3,198,true,-23.5574,-46.6895
100056,Fast Comfort,sandwich_shop,R. Purpurina,350,Vila Madalena,São Paulo,SP,05435-070,(11) 3815-1280,4.1,134,true,-23.5577,-46.6854
100057,Dulce Confeitaria,bakery,Rua Girassol,234,Vila Madalena,São Paulo,SP,05433055,(11) 3032-1290,4.5,223,true,-23.5558,-46.6889
100058,Bar Tropical,bar,Rua dos Pinheiros,670,Pinheiros,São Paulo,SP,05422-035,(11) 3082-1300,4.4,312,true,-23.5628,-46.6889
100059,Bar Tropical - Pinheiros,bar,R. dos Pinheiros,670,Pinheiros,São Paulo,SP,05422035,(11) 3082-1300,3.8,45,false,-23.5628,-46.6889
100060,Restaurante do Porto,restaurant,Rua Mourato Coelho,456,Pinheiros,São Paulo,SP,05417-012,(11) 3083-1310,4.5,267,true,-23.5601,-46.6877
100061,Do Porto Culinária Portuguesa,restaurant,R. Mourato Coelho,456,Pinheiros,São Paulo,SP,05417012,(11) 3083-1310,4.2,89,true,-23.5601,-46.6877
100062,India Palace,restaurant,Rua Teodoro Sampaio,650,Pinheiros,São Paulo,SP,05405030,(11) 3064-1320,4.6,389,true,-23.5629,-46.6851
100063,India Palace Restaurante Indiano,indian_restaurant,R. Teodoro Sampaio,650,Pinheiros,São Paulo,SP,05405-030,(11) 3064-1320,4.4,156,true,-23.5629,-46.6851
100064,Crépe Suzette,crepe_restaurant,Rua Girassol,600,Vila Madalena,São Paulo,SP,05433065,(11) 3032-1330,4.5,234,true,-23.5557,-46.6886
100065,Taco Loco,mexican_restaurant,R. Fradique Coutinho,750,Vila Madalena,São Paulo,SP,05422-145,(11) 9887-1340,4.4,189,true,-23.5583,-46.6906
100066,The Burger Joint,hamburger_restaurant,R. Aspicuelta,230,Vila Madalena,São Paulo,SP,05433015,(11) 3032-1350,4.6,512,true,-23.5566,-46.6882
100067,Biryani House,indian_restaurant,Rua Cardeal Arcoverde,1450,Pinheiros,São Paulo,SP,05407018,(11) 3083-1360,4.3,145,true,-23.5654,-46.6857
100068,Esfiha Bom Gosto,arabic_restaurant,Rua Teodoro Sampaio,1200,Pinheiros,São Paulo,SP,05406015,(11) 3064-1370,4.2,267,true,-23.5641,-46.6833
100069,Tapiocaria Nordestina,restaurant,Rua Heitor Penteado,600,Pinheiros,São Paulo,SP,05438060,(11) 3032-1380,4.4,178,true,-23.5565,-46.6878
100070,Ceviche House,peruvian_restaurant,R. Inacio Pereira da Rocha,340,Vila Madalena,São Paulo,SP,05434068,(11) 3815-1390,4.7,423,true,-23.5577,-46.6903
100071,Korean BBQ Madalena,korean_restaurant,R. Harmonia,260,Vila Madalena,São Paulo,SP,05435012,(11) 3815-1400,4.5,356,true,-23.5581,-46.6870
100072,Pasta e Vino,italian_restaurant,R. Aspicuelta,580,Vila Madalena,São Paulo,SP,05433025,(11) 3032-1410,4.6,345,true,-23.5562,-46.6873
100073,Bar do Mecânico,bar,Rua Sumidouro,340,Pinheiros,São Paulo,SP,05421040,(11) 3082-1420,4.1,156,true,-23.5612,-46.6867
100074,Cantina São Cristóvão,italian_restaurant,Rua Cardeal Arcoverde,1800,Pinheiros,São Paulo,SP,05407022,(11) 3083-1430,4.3,234,true,-23.5657,-46.6852
100075,Delivery Saudável,sandwich_shop,Rua Heitor Penteado,380,Pinheiros,São Paulo,SP,05438040,(11) 3032-1440,3.5,23,false,-23.5566,-46.6877
100076,O Melhor Açaí,ice_cream_shop,R. Fradique Coutinho,1100,Vila Madalena,São Paulo,SP,05422-155,(11) 9876-1450,4.4,289,true,-23.5580,-46.6904
100077,Empório da Cerveja,bar,Rua Fidalga,310,Vila Madalena,São Paulo,SP,05432045,(11) 3032-1460,4.6,412,true,-23.5569,-46.6918
100078,Salada Bar,sandwich_shop,R. Inacio Pereira da Rocha,450,Vila Madalena,São Paulo,SP,05434075,(11) 3815-1470,4.3,167,true,-23.5576,-46.6901
100079,Rodízio Express,restaurant,Rua Girassol,500,Vila Madalena,São Paulo,SP,05433-065,(11) 3032-1480,4.2,198,true,-23.5556,-46.6885
100080,Cantina dos Amigos,italian_restaurant,Rua Harmonia,150,Vila Madalena,São Paulo,SP,05435015,(11) 3815-1490,4.5,312,true,-23.5583,-46.6871
100081,Poke Bowl Fusion,sandwich_shop,R. Wisard,1010,Vila Madalena,São Paulo,SP,05434100,(11) 3815-1500,4.4,234,true,-23.5570,-46.6891
100082,Cervejaria São Paulo,bar,R. Purpurina,450,Vila Madalena,São Paulo,SP,05435075,(11) 3815-1510,4.5,456,true,-23.5574,-46.6853
100083,Doceria Patisserie,bakery,Rua Fidalga,150,Vila Madalena,São Paulo,SP,05432020,(11) 3032-1520,4.7,312,true,-23.5567,-46.6921
100084,Biergarten Madalena,bar,R. Aspicuelta,800,Vila Madalena,São Paulo,SP,05433-040,(11) 3032-1530,4.6,389,true,-23.5560,-46.6877
100085,Soba & Ramen House,japanese_restaurant,R. Wisard,876,Vila Madalena,São Paulo,SP,05434092,(11) 3815-1540,4.5,267,true,-23.5571,-46.6892
100086,O Barão da Costela,steak_house,Rua Mourato Coelho,1300,Pinheiros,São Paulo,SP,05417028,(11) 3083-1550,4.3,198,true,-23.5594,-46.6869
100087,Cozinha Árabe Shaker,arabic_restaurant,Rua Teodoro Sampaio,780,Pinheiros,São Paulo,SP,05405040,(11) 3064-1560,4.4,234,true,-23.5632,-46.6845
100088,Pizzaria di Marco,pizza_restaurant,Rua dos Pinheiros,1234,Pinheiros,São Paulo,SP,05422065,(11) 3082-1570,4.2,156,true,-23.5637,-46.6880
100089,Caipira Bar,bar,Rua Harmonia,680,Vila Madalena,São Paulo,SP,05435028,(11) 3815-1580,4.5,345,true,-23.5579,-46.6863
100090,Lamen Osaka,japanese_restaurant,Rua Girassol,123,Vila Madalena,São Paulo,SP,05433050,(11) 3032-1590,4.6,289,true,-23.5561,-46.6891
100091,Açaí Floresta,ice_cream_shop,R. Aspicuelta,120,Vila Madalena,São Paulo,SP,05433010,(11) 3032-1600,4.3,178,true,-23.5569,-46.6884
